fund_symbol,price_year,avg_open,avg_high,avg_low,avg_close,avg_adj_close,avg_transaction_price,avg_transaction_volume,avg_transaction_value,yearly_risk,yearly_loss
AAA,2020,24.9895,24.996000000000002,24.985,24.98875,24.799375,24.799375,6360.0,157558.8875,0.0006997317479870298,-0.0024048096192383905
AAAU,2018,12.182736842105262,12.22957894736842,12.148947368421053,12.17157894736842,12.17157894736842,12.17157894736842,103495.78947368421,1252533.4631578948,0.00617700906861327,-0.01248959200666111
AAAU,2019,13.92123015873016,13.968055555555555,13.873293650793652,13.920317460317461,13.920317460317461,13.920317460317461,57093.65079365079,817346.126984127,0.007423774743660677,-0.02319587628865971
AAAU,2020,17.696047430830042,17.776916996047433,17.57703557312253,17.681818181818183,17.681818181818183,17.681818181818183,411806.7193675889,7529092.0,0.012493868209325205,-0.054977711738484536
AADR,2010,27.727478260869564,27.799913043478263,27.633565217391304,27.734521739130432,26.044260869565218,26.044260869565218,5478.260869565217,142481.6347826087,0.009560135245058643,-0.03489263803680964
AADR,2011,29.56388888888889,29.63896825396825,29.49003968253968,29.569444444444443,27.84107142857143,27.84107142857143,3366.6666666666665,92107.72222222222,0.01594554326657808,-0.07869205892921305
AADR,2012,29.524079999999998,29.56304,29.492079999999998,29.52572,28.023,28.023,992.0,27811.592,0.009790323869336022,-0.04745222929936299
AADR,2013,34.31496031746032,34.39801587301587,34.220238095238095,34.30761904761905,32.70829365079365,32.70829365079365,4187.3015873015875,139387.5873015873,0.01020810520525581,-0.05321964128197576
AADR,2014,37.755158730158726,37.827976190476186,37.60126984126984,37.68718253968254,36.09075396825397,36.09075396825397,3600.7936507936506,131242.6150793651,0.008914246113016278,-0.030603570416548598
AADR,2015,38.60384920634921,38.68876984126984,38.46714285714285,38.570119047619045,37.17873015873016,37.17873015873016,1940.873015873016,71984.46825396825,0.010127809188288466,-0.03564727954971869
AADR,2016,39.00769841269842,39.1415873015873,38.79710317460318,38.95496031746032,37.77781746031746,37.77781746031746,4492.460317460317,168720.67857142858,0.012566395744449298,-0.047920892494929035
AADR,2017,50.18964143426295,50.42884462151394,49.842430278884464,50.131394422310755,48.976772908366534,48.976772908366534,22937.051792828686,1169078.330677291,0.009684787733690215,-0.041778697001034204
AADR,2018,54.28844621513944,54.63581673306773,53.79581673306773,54.19749003984064,53.356613545816735,53.356613545816735,38567.72908366534,2054728.2270916335,0.013547746140167084,-0.04082669828900565
AADR,2019,47.782579365079364,47.984880952380955,47.576587301587296,47.81349206349206,47.36301587301587,47.36301587301587,11163.492063492064,520717.77777777775,0.00853168640939189,-0.026661360923199262
AADR,2020,53.015019762845846,53.35916996047431,52.632252964426876,53.008656126482215,52.681541501976284,52.681541501976284,11880.237154150198,596389.7272727273,0.022133640531301,-0.15347083610556667
AAXJ,2008,37.00125,37.638020833333336,36.1775,36.863437499999996,29.5825,29.5825,162025.0,4095334.6770833335,0.05117326177844311,-0.11541544215869626
AAXJ,2009,44.18388888888889,44.58373015873016,43.59952380952381,44.16023809523809,35.551111111111105,35.551111111111105,261735.31746031746,9912421.92063492,0.024817011501105716,-0.07468354430379753
AAXJ,2010,57.225634920634924,57.546507936507936,56.67813492063492,57.198888888888895,46.7306746031746,46.7306746031746,515978.5714285714,24151921.912698414,0.014154362780565236,-0.04805318138651471
AAXJ,2011,58.02218253968254,58.38150793650794,57.5647619047619,57.99579365079365,48.24198412698413,48.24198412698413,591094.8412698413,28312553.476190478,0.018112036967789753,-0.0706417205805211
AAXJ,2012,55.05652,55.31244,54.775800000000004,55.07836,46.6854,46.6854,481381.2,22324632.44,0.01137611651708793,-0.04320871688897232
AAXJ,2013,58.684682539682534,58.91829365079365,58.3947619047619,58.67043650793651,50.6572619047619,50.6572619047619,601992.8571428572,30576752.35714286,0.010574297943527424,-0.04546281142025821
AAXJ,2014,61.20238095238095,61.435952380952386,60.955,61.20424603174603,53.82575396825397,53.82575396825397,641225.3968253968,34351489.63095238,0.008115617913621444,-0.03233294644337592
AAXJ,2015,60.32809523809524,60.60599206349207,60.05107142857143,60.33920634920635,53.96285714285714,53.96285714285714,1295533.7301587302,69332224.03968254,0.012608834998458055,-0.0518461832791276
AAXJ,2016,55.012499999999996,55.27773809523809,54.757817460317455,55.03507936507937,50.37880952380952,50.37880952380952,1034942.0634920635,52153758.30555555,0.01197948335515229,-0.05013623978201631
AAXJ,2017,68.05378486055777,68.24127490039841,67.84430278884462,68.0699203187251,63.37784860557769,63.37784860557769,1098061.3545816734,70037420.5936255,0.007047697913406135,-0.025366403607666288
AAXJ,2018,72.63462151394423,73.01908366533866,72.17346613545817,72.61135458167331,69.02956175298804,69.02956175298804,1143407.171314741,78202738.2629482,0.013004893777706895,-0.034318038969201825
AAXJ,2019,68.65781746031746,68.92071428571428,68.39916666666667,68.68503968253968,66.66587301587302,66.66587301587302,1253617.857142857,83161029.57936507,0.009719057363869377,-0.03945163747143954
AAXJ,2020,73.44541501976283,73.85695652173914,72.97470355731225,73.45525691699605,72.58675889328063,72.58675889328063,1365603.557312253,97740337.8972332,0.019599290700163904,-0.11372360844529761
ABEQ,2020,23.162125,23.289458333333336,23.027291666666667,23.163708333333332,23.01775,23.01775,12910.833333333334,295950.87083333335,0.015709010682713923,-0.07695831424644983
ACES,2018,25.100629921259845,25.162913385826773,24.95165354330709,25.027322834645666,24.1792125984252,24.1792125984252,7089.763779527559,170612.6850393701,0.012143155429371947,-0.03608036080360799
